marca,modelo,cod_fipe,Combus,novo_g,med16g,med15g,med14g,med13g,med12g,med11g,med10g,med09g,med08g,med07g,med06g,med05g,med04g,med03g,med02g,med01g,med00g,med99g,med98g,med97g,med96g,med95g,med94g,med93g,med92g,med91g,med90g,med89g,med88g,med87g,med86g,med85g,num_passag
Acura,Integra GS 1.8,038003-2,GGG,,,,,,,,,,,,,,,,,,,,,,,,,,13361,12400,,,,,,,00005
Acura,Legend 3.2/3.5,038002-4,GGG,,,,,,,,,,,,,,,,,,,,30212,26379,25409,23274,20622,18345,17160,16384,,,,,,,00005
Acura,NSX 3.0,038001-6,GGG,,,,,,,,,,,,,,,,,,,,,,,48010,46175,44625,43122,40835,,,,,,,00002
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,060001-6,DDD,,,,,,,,,,,56593,53863,47853,43823,,,,,,,,,,,,,,,,,,,,00004
Agrale,MARRUÁ AM 100 2.8  CS TDI Diesel,060003-2,DDD,150382,,130192,121448,115382,103311,78319,60117,54288,50599,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,060004-0,DDD,162191,,140654,132053,121960,113085,102029,69297,64449,59750,57658,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 150 2.8  CS TDI Diesel,060005-9,DDD,158703,,133930,125560,117736,107256,89707,66420,61669,58393,,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,060006-7,DDD,176186,,144835,136259,129089,123844,94304,69854,67557,65394,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8  CD TDI Diesel,060008-3,DDD,181100,,145750,137160,130742,124650,97478,81599,78544,75923,,,,,,,,,,,,,,,,,,,,,,,,00006
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,060007-5,DDD,159781,,135218,127765,119254,107905,89828,68242,65634,59961,57714,,,,,,,,,,,,,,,,,,,,,,,00003
Agrale,MARRUÁ AM 50 2.8 140CV TDI Diesel,060002-4,DDD,,,,,,,83969,80099,72915,65619,,,,,,,,,,,,,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 1.7/1.8 16V,006009-7,GGG,,,,,,,,,,,,,,,,,,,14280,13855,10013,8490,,,,,,,,,,,,00005
Alfa Romeo,145 Elegant 2.0 16V,006001-1,GGG,,,,,,,,,,,,,,,,,,,,13283,12222,11841,10110,,,,,,,,,,,00005
Alfa Romeo,145 Quadrifoglio 2.0,006002-0,GGG,,,,,,,,,,,,,,,,,,,15620,15132,13287,12520,,,,,,,,,,,,00005
